studyName	Sample Number	Species	Region	Island	Stage	Individual ID	Clutch Completion	Date Egg	Culmen Length (mm)	Culmen Depth (mm)	Flipper Length (mm)	Body Mass (g)	Sex	Delta 15 N (o/oo)	Delta 13 C (o/oo)	Comments
FAKE123	11	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N6A2	Yes	2008-06-20	37.3	19.5	176	3931	FEMALE	9.03432	-23.07578	
FAKE123	12	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N7A1	Yes	2007-04-08	46.3	20.7	208	3909	FEMALE	7.16538	-24.89097	
FAKE123	13	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N7A2	Yes	2009-03-15	43.5	21.2	160	4620	MALE	9.59303	-25.29112	
FAKE123	14	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N8A1	Yes	2009-02-27	48.5	16.6	161	2645	FEMALE	8.65767	-26.98222	
FAKE123	15	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	 N8A2	Yes	2009-11-07	37.7	18.5	183	1410	FEMALE	9.07983	-23.70937	
FAKE123	16	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N9A1	Yes	2009-11-21	38.8	16.4	179	2140	MALE	7.22176	-26.78681	
FAKE123	17	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N9A2	No	2009-01-28	49.1	22.7	223	3917	FEMALE	9.28296	-25.0473	
FAKE123	18	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N10A1	Yes	2007-05-11	38.6	19.7	171	2385	MALE	7.21602	-25.58641	
FAKE123	19	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N10A2	Yes	2009-03-10	32.9	21.1	190	4824	MALE	8.61417	-26.05845	
FAKE123	20	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N11A1	Yes	2007-02-18	42.3	21.0	203	4444	FEMALE	7.65182	-24.48821	
FAKE123	21	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N11A2	Yes	2009-11-29	33.9	17.1	208	4301	MALE	7.34516	-26.55609	
FAKE123	22	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N12A1	Yes	2008-09-17	37.4	20.7	222	4228	MALE	9.21793	-26.56137	
FAKE123	23	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N12A2	Yes	2008-02-03	47.9	15.3	227	2849	MALE	7.62343	-24.39384	
FAKE123	24	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N13A1	No	2007-10-05	32.6	17.5	218	2548	FEMALE	9.86466	-26.20658	
FAKE123	25	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N13A2	Yes	2008-09-16	47.3	19.1	223	3042	MALE	9.84588	-23.80305	
FAKE123	26	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N14A1	Yes	2007-09-05	36.5	22.7	179	4450	FEMALE	8.54341	-23.23493	
FAKE123	27	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N14A2	Yes	2007-01-10	30.3	20.7	202	4530	MALE	7.78024	-23.56024	
FAKE123	28	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N15A1	No	2009-01-19	32.3	21.6	169	4059	FEMALE	8.08058	-25.48133	
FAKE123	29	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N15A2	Yes	2007-11-29	30.0	17.3	198	3076	FEMALE	8.74423	-26.65596	
FAKE123	30	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N16A1	Yes	2008-01-06	46.4	16.6	190	2175	FEMALE	7.29112	-26.81161	
FAKE123	31	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N16A2	Yes	2009-12-03	47.2	16.9	205	2684	MALE	9.44464	-24.97267	
FAKE123	32	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N17A1	Yes	2007-01-20	45.8	16.6	201	1431	FEMALE	8.02222	-24.98981	
FAKE123	33	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N17A2	Yes	2008-11-04	47.4	22.9	197	4229	MALE	9.03237	-25.45963	
FAKE123	34	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N18A1	Yes	2007-08-12	46.1	15.9	165	4694	MALE	9.5489	-25.66105	
FAKE123	35	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N18A2	Yes	2009-09-23	43.4	20.3	224	2250	MALE	7.76383	-24.76669	
FAKE123	36	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N19A1	Yes	2008-03-24	30.7	20.7	215	3811	FEMALE	7.15799	-24.39626	
FAKE123	37	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N19A2	Yes	2008-12-01	38.8	19.4	182	1040	MALE	8.91785	-26.63029	
FAKE123	38	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N20A1	Yes	2009-02-24	30.1	18.7	207	3824	MALE	8.22087	-26.25611	
FAKE123	39	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N20A2	Yes	2008-03-01	35.3	19.6	202	2938	FEMALE	8.5537	-24.09962	
FAKE123	40	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N21A1	Yes	2009-05-06	39.6	16.8	176	4294	MALE	8.65618	-24.33488	
FAKE123	41	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N21A2	Yes	2009-01-28	33.3	22.6	162	2613	MALE	7.38383	-26.30784	
FAKE123	42	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N22A1	Yes	2008-11-12	32.1	18.1	216	3591	AFEMALE	9.77457	-26.69667	
FAKE123	43	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N22A2	Yes	2008-02-06	32.7	18.5	174	3286	MALE	9.33918	-24.90927	
FAKE123	44	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N23A1	Yes	2008-06-30	43.3	16.8	205	2894	MALE	9.53382	-23.04145	
FAKE123	45	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N23A2	Yes	2007-04-10	32.9	23.0	198	3233	MALE	9.22407	-23.29699	
FAKE123	46	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N24A1	Yes	2007-09-25	40.3	18.5	162	1494	FEMALE	7.21258	-26.99868	
FAKE123	47	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N24A2	Yes	2009-05-12	37.2	17.5	170	1145	MALE	8.37618	-25.39776	
FAKE123	48	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N25A1	Yes	2007-02-14	37.4	18.6	226	1550	MALE	9.78593	-26.4479	
FAKE123	49	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N25A2	Yes	2008-10-21	33.5	17.0	175	3855	MALE	8.99977	-24.89647	
FAKE123	50	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N26A1	Yes	2008-12-14	35.5	21.1	222	3845	FEMALE	9.58327	-23.58136	
FAKE123	51	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N26A2	Yes	2007-10-07	30.6	19.5	220	2601	MALE	9.76209	-26.65158	
FAKE123	52	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N27A1	Yes	2009-01-09	46.3	18.7	189	1576	FEMALE	8.00246	-26.44709	
FAKE123	53	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N27A2	Yes	2008-07-21	47.5	20.5	178	2832	MALE	9.74811	-25.34288	
FAKE123	54	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N28A1	Yes	2008-07-26	42.5	19.9	188	4258	MALE	9.30305	-25.92905	
FAKE123	55	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N28A2	Yes	2007-06-02	49.0	17.2	189	3501	FEMALE	7.45418	-23.30417	
FAKE123	56	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N29A1	Yes	2009-09-22	46.6	22.0	215	3379	FEMALE	9.57007	-25.66437	
FAKE123	57	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N29A2	Yes	2007-03-12	30.0	18.7	160	1575	MALE	9.24261	-23.4322	
FAKE123	58	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N30A1	Yes	2008-10-04	45.5	16.0	200	2322	FEMALE	8.70468	-25.66045	
FAKE123	59	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N30A2	Yes	2009-06-07	35.1	18.2	198	2278	FEMALE	8.33504	-24.47249	
FAKE123	60	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N31A1	No	2007-01-15	42.6	20.6	166	4756	FEMALE	9.58779	-24.5856	
FAKE123	61	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N31A2	Yes	2007-07-29	35.4	20.6	169	4350	FEMALE	9.93082	-23.04253	
FAKE123	62	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N32A1	Yes	2007-05-30	39.0	19.0	215	1439	FEMALE	9.83679	-25.94522	
FAKE123	63	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N32A2	Yes	2008-05-08	30.4	16.5	172	1706	FEMALE	8.30429	-25.85672	
FAKE123	64	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N33A1	Yes	2008-02-24	44.4	19.5	189	3764	FEMALE	8.1616	-23.12096	
FAKE123	65	Adelie Pnguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N33A2	Yes	2008-10-06	33.5	15.1	230	3067	FEMALE	8.92407	-23.93066	
FAKE123	66	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N34A1	Yes	2007-08-19	49.6	17.7	190	4000	MALE	8.2252	-23.01559	
FAKE123	67	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N34A2	Yes	2007-10-27	30.6	21.7	205	3003	FEMALE	8.61847	-26.93376	
FAKE123	68	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N35A1	Yes	2009-08-18	38.0	16.0	193	1562	FEMALE	8.00173	-25.34105	
FAKE123	69	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N35A2	Yes	2009-12-08	38.7	20.6	188	2065	FEMALE	7.85108	-25.40144	
FAKE123	70	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N36A1	Yes	2007-06-01	42.5	23.0	167	1100	MALE	7.23573	-26.93478	
FAKE123	71	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N36A2	Yes	2009-07-05	35.5	20.7	215	1581	FEMALE	8.63552	-26.07235	
FAKE123	72	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N37A1	Yes	2008-09-18	48.8	20.9	165	3313	MALE	9.14399	-24.95371	
FAKE123	73	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N37A2	Yes	2009-09-27	48.7	16.8	170	2351	MALE	7.92418	-25.70609	
FAKE123	74	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N38A1	Yes	2008-10-04	45.8	23.0	218	3908	MALE	7.20997	-25.67632	
FAKE123	75	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N38A2	Yes	2008-05-22	33.8	20.8	190	3078	FEMALE	7.85083	-23.14387	
FAKE123	76	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N39A1	Yes	2009-05-18	42.0	15.4	228	z3336	FEMALE	7.2008	-24.60968	
FAKE123	77	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N39A2	Yes	2007-05-22	47.4	22.4	197	3810	MALE	9.7749	-24.29331	
FAKE123	78	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N40A1	Yes	2008-04-19	47.2	21.8	205	1665	MALE	8.7336	-23.0815	
FAKE123	79	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N40A2	No	2008-05-21	37.5	19.1	223	4206	FEMALE	9.25971	-26.10853	
FAKE123	80	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N41A1	Yes	2008-01-24	42.2	18.2	184	1287	FEMALE	8.46122	-26.08862	
FAKE123	81	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N41A2	Yes	2009-11-26	43.9	22.7	209	4091	FEMALE	8.39334	-25.36738	
FAKE123	82	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N42A1	No	2009-09-18	38.1	19.3	184	3890	FEMALE	7.74295	-26.96893	
FAKE123	83	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N42A2	No	2009-07-21	45.7	17.9	162	2483	MALE	8.01978	-23.69223	
FAKE123	84	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N43A1	Yes	2007-05-06	49.4	20.3	169	3347	FEMALE	8.24116	-23.09911	
FAKE123	85	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N43A2	Yes	2007-07-21	40.1	18.4	192	2790	FEMALE	8.71841	-26.52485	
FAKE123	86	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N44A1	Yes	2007-07-13	41.1	23.0	209	3855	MALE	9.43958	-25.14097	
FAKE123	87	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N44A2	Yes	2009-03-02	32.0	22.2	204	2478	MALE	7.36371	-25.9998	
FAKE123	88	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N45A1	No	2007-06-13	33.2	18.5	212	3747	MALE	7.77326	-24.88082	
FAKE123	89	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N45A2	Yes	2008-12-21	48.3	15.5	226	1178	FEMALE	7.94487	-25.19279	
FAKE123	90	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N46A1	Yes	2007-05-11	47.9	18.2	193	3119	FEMALE	7.81368	-23.03286	
FAKE123	91	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N46A2	Yes	2007-06-27	31.8	17.4	218	3502	MALE	9.40475	-24.26184	
FAKE123	92	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N47A1	Yes	2009-01-18	32.1	21.6	203	1010	MALE	7.54516	-24.75745	
FAKE123	93	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N47A2	Yes	2009-02-05	38.1	15.2	183	4005	MALE	7.10066	-25.22849	
FAKE123	94	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N48A1	Yes	2008-01-20	49.6	17.1	205	4761	MALE	9.14028	-26.71686	
FAKE123	95	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N48A2	Yes	2009-08-14	34.6	15.3	218	4286	FEMALE	7.99873	-24.96756	
FAKE123	96		Anvers	Biscoe	Adult, 1 Egg Stage	N49A1	Yes	2007-07-20	47.6	15.1	201	2869	FEMALE	9.4984	-26.57821	
FAKE123	97	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N49A2	Yes	2007-06-12	32.5	21.0	164	1631	FEMALE	7.19295	-26.9962	
FAKE123	98	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N50A1	Yes	2007-11-22	36.2	22.9	202	873	MALE	9.53187	-23.71881	
FAKE123	99	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N50A2	Yes	2007-06-08	34.1	20.3	219	2488	MALE	9.02642	-24.03821	
FAKE123	100	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N51A1	Yes	2009-03-05	30.4	15.3	201	3089	MALE	7.20018	-26.75251	
FAKE123	101	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N51A2	Yes	2008-07-19	47.5	19.2	191	4778	MALE	8.90854	-24.32481	
FAKE123	102	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N521	Yes	2008-02-14	41.1	18.1	220	2563	MALE	9.07008	-25.74143	
FAKE123	103	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N52A2	Yes	2009-10-25	42.1	18.0	195	1165	FEMALE	9.04878	-23.71743	
FAKE123	104	Adelie Penguin (Pygoscelis adeliae)	Anvers 	Torgersen	Adult, 1 Egg Stage	N53A1	Yes	2008-12-28	40.0	20.5	173	3921	FEMALE	9.42214	-26.15391	
FAKE123	105	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N53A2	Yes	2007-06-12	33.6	23.0	205	4138	FEMALE	9.71957	-23.04986	
FAKE123	106	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N54A1	Yes	2008-05-13	46.2	15.5	197	3258	FEMALE	7.18298	-23.42319	
FAKE123	107	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N54A2	Yes	2007-02-20	39.1	17.1	163	2763	FEMALE	9.43017	-26.60066	
FAKE123	108	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N55A1	Yes	2007-03-08	30.7	21.7	177	4354	FEMALE	8.87157	-23.73185	
FAKE123	109	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N55A2	Yes	2008-05-29	34.0	19.3	224	4967	FEMALE	9.79514	-23.35538	
FAKE123	110	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N56A1	Yes	2008-06-13	42.0	21.5	199	4951	FEMALE	9.13017	-26.48771	
FAKE123	111	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N56A2	Yes	2009-12-07	45.2	22.7	225	1455	FEMALE	7.88414	-25.02944	
FAKE123	112	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N57A1	Yes	2009-08-11	32.7	20.7	207	3393	FEMALE	9.55082	-25.80088	
FAKE123	113	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N57A2	Yes	2009-03-29	43.2	20.2	186	2794	FEMALE	8.38478	-26.88902	
FAKE123	114	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N58A1	Yes	2008-02-21	45.0	20.1	202	1954	FEMALE	7.20502	-24.48372	
FAKE123	115	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N58A2	Yes	2008-08-09	34.6	17.9	229	2492	MALE	8.58572	-23.80783	
FAKE123	116	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N59A1	Yes	2009-07-18	32.3	18.3	221	1940	MALE	8.55552	-26.26039	
FAKE123	117	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N59A2	Yes	2007-10-18	35.0	15.0	164	4530	FEMALE	9.92697	-23.3311	
FAKE123	118	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N60A1	Yes	2008-02-22	30.1	18.0	189	3038	FEMALE	8.43894	-25.82237	
FAKE123	119	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N60A2	Yes	2008-10-14	35.7	19.7	208	4525	MALE	8.2144	-25.49057	
FAKE123	120	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N61A1	Yes	2009-03-27	49.9	16.5	211	2454	FEMALE	8.19877	-23.55972	
FAKE123	121	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N61A2	Yes	2008-12-10	32.6	21.1	197	1494	FEMALE	7.80879	-25.19637	
FAKE123	122	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N62A1	Yes	2009-07-13	41.8	21.5	219	4832	MALE	9.09342	-24.36691	
FAKE123	123	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N62A2	Yes	2007-02-16	38.1	20.0	189	4361	FEMALE	7.25495	-23.98334	
FAKE123	124	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N63A1	Yes	2008-03-04	34.6	19.6	163	1957	MALE	7.04242	-24.9937	
FAKE123	125	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N63A2	Yes	2008-04-28	30.0	21.6	213	1273	MALE	8.22841	-25.81013	
FAKE123	126	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N64A1	Yes	2008-01-20	36.8	15.3	204	3882	FEMALE	8.76855	-23.44964	
FAKE123	127	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N64A2	Yes	2007-12-04	36.9	15.3	178	3542	MALE	8.98657	-25.91426	
FAKE123	128	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N65A1	Yes	2009-08-04	43.0	20.7	220	1731	FEMALE	9.87191	-25.21839	
FAKE123	129	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N65A2	Yes	2009-06-27	35.9	20.8	191	2437	FEMALE	9.15105	-26.87462	
FAKE123	130	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N66A1	No	2008-04-14	36.1	18.2	221	2945	MALE	8.19673	-24.68837	
FAKE123	131	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N66A2	Yes	2007-09-22	32.2	17.4	198	4820	MALE	7.30931	-26.1868	
FAKE123	132	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N67A1	Yes	2008-07-22	34.8	20.2	223	1786	MALE	9.0494	-26.75289	
FAKE123	133	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N67A2	Yes	2009-12-28	45.2	22.4	215	1623	FEMALE	9.9923	-25.88129	
FAKE123	134	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N68A1	No	2008-09-24	35.0	15.0	165	1255	MALE	8.27323	-24.67626	
FAKE123	135	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N68A2	No	2009-05-29	47.4	19.3	223	3807	MALE	7.85569	-25.04631	
FAKE123	136	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N69A1	No	2008-08-03	33.7	17.8	174	4078	MALE	9.06598	-24.56794	
FAKE123	137	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N69A2	Yes	2007-02-28	40.5	22.4	212	3215	MALE	7.0217	-23.49376	
